Unnamed: 0,x1,y1,x2,y2,class,class_name,image
37.0,16,89,459,326,97,Dodge Charger SRT-8 2009,train/00038.jpg
38.0,53,113,614,350,105,Fisker Karma Sedan 2012,train/00039.jpg
39.0,214,110,660,403,142,Infiniti QX56 SUV 2011,train/00040.jpg
40.0,61,55,566,408,13,Audi A5 Coupe 2012,train/00041.jpg
41.0,28,61,622,371,191,Volkswagen Golf Hatchback 1991,train/00042.jpg
42.0,22,39,588,362,119,GMC Savana Van 2012,train/00043.jpg
43.0,220,193,537,364,38,BMW Z4 Convertible 2012,train/00044.jpg
44.0,12,108,489,297,186,Toyota Sequoia SUV 2012,train/00045.jpg
45.0,28,80,759,466,25,Audi TT RS Coupe 2012,train/00046.jpg
46.0,84,248,1102,899,194,Volvo 240 Sedan 1993,train/00047.jpg
47.0,142,69,753,451,177,Rolls-Royce Phantom Sedan 2012,train/00048.jpg
48.0,166,543,887,903,173,Porsche Panamera Sedan 2012,train/00049.jpg
49.0,20,96,564,341,42,Bentley Continental GT Coupe 2012,train/00050.jpg
50.0,41,181,607,465,91,Dodge Dakota Club Cab 2007,train/00051.jpg
51.0,39,29,774,395,148,Jeep Grand Cherokee SUV 2012,train/00052.jpg
52.0,161,191,425,307,15,Audi R8 Coupe 2012,train/00053.jpg
53.0,58,562,1528,1081,97,Dodge Charger SRT-8 2009,train/00054.jpg
54.0,80,120,582,391,42,Bentley Continental GT Coupe 2012,train/00055.jpg
55.0,32,48,472,267,53,Cadillac Escalade EXT Crew Cab 2007,train/00056.jpg
56.0,260,138,972,439,44,Bentley Continental Flying Spur Sedan 2007,train/00057.jpg
57.0,11,35,256,173,65,Chevrolet Avalanche Crew Cab 2012,train/00058.jpg
58.0,68,91,607,354,90,Dodge Dakota Crew Cab 2010,train/00059.jpg
59.0,129,120,345,269,124,HUMMER H3T Crew Cab 2010,train/00060.jpg
60.0,11,104,1011,742,114,Ford F-150 Regular Cab 2007,train/00061.jpg
61.0,19,21,425,265,190,Volkswagen Golf Hatchback 2012,train/00062.jpg
62.0,175,330,928,647,101,Ferrari FF Coupe 2012,train/00063.jpg
63.0,97,39,925,700,187,Toyota Camry Sedan 2012,train/00064.jpg
64.0,63,175,417,320,8,Aston Martin V8 Vantage Convertible 2012,train/00065.jpg
65.0,30,39,221,125,17,Audi 100 Sedan 1994,train/00066.jpg
66.0,129,89,594,432,111,Ford Ranger SuperCab 2011,train/00067.jpg
67.0,32,43,598,350,122,GMC Canyon Extended Cab 2012,train/00068.jpg
68.0,142,124,675,445,5,Acura TSX Sedan 2012,train/00069.jpg
69.0,220,313,1054,976,29,BMW 3 Series Sedan 2012,train/00070.jpg
70.0,8,12,639,299,126,Honda Odyssey Minivan 2012,train/00071.jpg
71.0,92,271,1178,749,94,Dodge Durango SUV 2012,train/00072.jpg
72.0,15,12,314,230,106,Ford F-450 Super Duty Crew Cab 2012,train/00073.jpg
73.0,14,12,309,223,106,Ford F-450 Super Duty Crew Cab 2012,train/00074.jpg
74.0,45,74,522,253,188,Toyota Corolla Sedan 2012,train/00075.jpg
75.0,12,27,284,166,59,Chevrolet Camaro Convertible 2012,train/00076.jpg
76.0,25,25,3502,2017,110,Ford Edge SUV 2012,train/00077.jpg
77.0,36,88,611,417,43,Bentley Continental GT Coupe 2007,train/00078.jpg
78.0,165,126,749,425,133,Hyundai Veracruz SUV 2012,train/00079.jpg
79.0,20,21,292,217,111,Ford Ranger SuperCab 2011,train/00080.jpg
80.0,10,55,540,271,8,Aston Martin V8 Vantage Convertible 2012,train/00081.jpg
81.0,63,113,597,413,192,Volkswagen Beetle Hatchback 2012,train/00082.jpg
82.0,55,48,294,205,18,Audi 100 Wagon 1994,train/00083.jpg
83.0,27,67,620,474,116,Ford E-Series Wagon Van 2012,train/00084.jpg
84.0,15,80,629,402,49,Buick Verano Sedan 2012,train/00085.jpg
85.0,119,300,1416,871,145,Jeep Patriot SUV 2012,train/00086.jpg
86.0,17,36,455,215,49,Buick Verano Sedan 2012,train/00087.jpg
87.0,171,176,2373,1751,170,Nissan Juke Hatchback 2012,train/00088.jpg
88.0,49,195,1003,617,20,Audi S6 Sedan 2011,train/00089.jpg
89.0,5,43,296,211,114,Ford F-150 Regular Cab 2007,train/00090.jpg
90.0,49,57,494,419,165,Mercedes-Benz S-Class Sedan 2012,train/00091.jpg
91.0,101,84,492,272,138,Hyundai Sonata Sedan 2012,train/00092.jpg
92.0,23,53,258,144,175,Rolls-Royce Phantom Drophead Coupe Convertible 2012,train/00093.jpg
93.0,19,60,783,440,112,Ford GT Coupe 2006,train/00094.jpg
94.0,110,171,1213,648,122,GMC Canyon Extended Cab 2012,train/00095.jpg
95.0,39,67,346,206,104,Ferrari 458 Italia Coupe 2012,train/00096.jpg
96.0,3,7,76,50,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,train/00097.jpg
97.0,65,37,578,360,51,Cadillac CTS-V Sedan 2012,train/00098.jpg
98.0,27,60,486,364,37,BMW X3 SUV 2012,train/00099.jpg
99.0,22,180,454,355,71,Chevrolet Express Van 2007,train/00100.jpg
100.0,70,39,940,742,193,Volvo C30 Hatchback 2012,train/00101.jpg
101.0,99,130,396,222,105,Fisker Karma Sedan 2012,train/00102.jpg
102.0,85,107,609,381,61,Chevrolet Impala Sedan 2007,train/00103.jpg
103.0,1,76,480,315,74,Chevrolet Silverado 1500 Extended Cab 2012,train/00104.jpg
104.0,57,266,967,623,133,Hyundai Veracruz SUV 2012,train/00105.jpg
105.0,69,75,236,161,162,Mercedes-Benz C-Class Sedan 2012,train/00106.jpg
106.0,24,17,249,163,131,Hyundai Santa Fe SUV 2012,train/00107.jpg
107.0,7,27,212,147,88,Dodge Sprinter Cargo Van 2009,train/00108.jpg
108.0,18,14,248,168,121,GMC Acadia SUV 2012,train/00109.jpg
109.0,19,2,591,387,180,Spyker C8 Coupe 2009,train/00110.jpg
110.0,52,6,759,513,180,Spyker C8 Coupe 2009,train/00111.jpg
111.0,231,103,430,226,137,Hyundai Genesis Sedan 2012,train/00112.jpg
112.0,91,148,700,582,133,Hyundai Veracruz SUV 2012,train/00113.jpg
113.0,19,72,624,397,71,Chevrolet Express Van 2007,train/00114.jpg
114.0,26,90,376,243,83,Dodge Caliber Wagon 2012,train/00115.jpg
115.0,132,120,667,401,110,Ford Edge SUV 2012,train/00116.jpg
116.0,84,44,663,342,42,Bentley Continental GT Coupe 2012,train/00117.jpg
117.0,87,235,591,412,177,Rolls-Royce Phantom Sedan 2012,train/00118.jpg
118.0,173,370,1207,960,147,Jeep Liberty SUV 2012,train/00119.jpg
119.0,3,19,195,114,161,Mercedes-Benz 300-Class Convertible 1993,train/00120.jpg
120.0,49,143,487,455,109,Ford Expedition EL SUV 2009,train/00121.jpg
121.0,72,67,233,176,28,BMW 1 Series Coupe 2012,train/00122.jpg
122.0,151,568,1954,1271,144,Jaguar XK XKR 2012,train/00123.jpg
123.0,14,88,271,178,53,Cadillac Escalade EXT Crew Cab 2007,train/00124.jpg
124.0,135,761,1894,1353,29,BMW 3 Series Sedan 2012,train/00125.jpg
125.0,44,123,778,487,66,Chevrolet Cobalt SS 2010,train/00126.jpg
126.0,69,103,537,322,79,Chrysler 300 SRT-8 2010,train/00127.jpg
127.0,86,78,355,284,13,Audi A5 Coupe 2012,train/00128.jpg
128.0,50,80,592,273,136,Hyundai Accent Sedan 2012,train/00129.jpg
129.0,95,161,543,368,143,Isuzu Ascender SUV 2008,train/00130.jpg
130.0,275,195,863,474,171,Nissan 240SX Coupe 1998,train/00131.jpg
131.0,99,78,557,389,89,Dodge Journey SUV 2012,train/00132.jpg
132.0,11,126,426,360,135,Hyundai Elantra Sedan 2007,train/00133.jpg
133.0,1,2,267,185,161,Mercedes-Benz 300-Class Convertible 1993,train/00134.jpg
134.0,19,735,2669,2192,58,Chevrolet Traverse SUV 2012,train/00135.jpg
135.0,21,35,279,195,122,GMC Canyon Extended Cab 2012,train/00136.jpg
136.0,45,99,593,403,178,Scion xD Hatchback 2012,train/00137.jpg
137.0,130,282,1425,900,56,Chevrolet Corvette ZR1 2012,train/00138.jpg
138.0,72,215,628,481,184,Suzuki SX4 Sedan 2012,train/00139.jpg
139.0,62,95,633,434,191,Volkswagen Golf Hatchback 1991,train/00140.jpg
140.0,13,106,476,260,40,Bentley Arnage Sedan 2009,train/00141.jpg
141.0,78,300,952,633,60,Chevrolet HHR SS 2010,train/00142.jpg
142.0,72,51,566,412,155,Land Rover LR2 SUV 2012,train/00143.jpg
143.0,66,59,283,202,71,Chevrolet Express Van 2007,train/00144.jpg
144.0,135,36,1181,885,140,Hyundai Azera Sedan 2012,train/00145.jpg
145.0,2,5,298,162,42,Bentley Continental GT Coupe 2012,train/00146.jpg
146.0,8,12,770,309,76,Chrysler Aspen SUV 2009,train/00147.jpg
147.0,24,78,608,379,187,Toyota Camry Sedan 2012,train/00148.jpg
148.0,34,1,242,179,86,Dodge Ram Pickup 3500 Crew Cab 2010,train/00149.jpg
149.0,11,208,596,386,8,Aston Martin V8 Vantage Convertible 2012,train/00150.jpg
150.0,8,37,294,150,5,Acura TSX Sedan 2012,train/00151.jpg
151.0,23,66,499,311,47,Buick Regal GS 2012,train/00152.jpg
152.0,6,138,627,361,30,BMW 3 Series Wagon 2012,train/00153.jpg
153.0,17,105,385,243,18,Audi 100 Wagon 1994,train/00154.jpg
154.0,76,4,1585,1120,149,Jeep Compass SUV 2012,train/00155.jpg
155.0,22,21,211,139,174,Ram C/V Cargo Van Minivan 2012,train/00156.jpg
156.0,32,130,973,661,138,Hyundai Sonata Sedan 2012,train/00157.jpg
157.0,75,236,1196,846,179,Spyker C8 Convertible 2009,train/00158.jpg
158.0,37,139,988,694,24,Audi S4 Sedan 2007,train/00159.jpg
159.0,114,46,546,287,42,Bentley Continental GT Coupe 2012,train/00160.jpg
160.0,12,83,629,354,73,Chevrolet Malibu Sedan 2007,train/00161.jpg
161.0,38,66,548,385,176,Rolls-Royce Ghost Sedan 2012,train/00162.jpg
162.0,46,84,661,428,1,AM General Hummer SUV 2000,train/00163.jpg
163.0,13,29,239,174,37,BMW X3 SUV 2012,train/00164.jpg
164.0,27,65,490,220,36,BMW M6 Convertible 2010,train/00165.jpg
165.0,4,69,402,245,108,Ford Freestar Minivan 2007,train/00166.jpg
166.0,19,27,429,258,41,Bentley Mulsanne Sedan 2011,train/00167.jpg
167.0,110,96,565,389,40,Bentley Arnage Sedan 2009,train/00168.jpg
168.0,2,22,140,81,119,GMC Savana Van 2012,train/00169.jpg
169.0,48,71,615,453,119,GMC Savana Van 2012,train/00170.jpg
170.0,41,42,262,170,19,Audi TT Hatchback 2011,train/00171.jpg
171.0,6,108,493,267,163,Mercedes-Benz SL-Class Coupe 2009,train/00172.jpg
172.0,26,61,508,342,120,GMC Yukon Hybrid SUV 2012,train/00173.jpg
173.0,13,29,249,159,54,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,train/00174.jpg
174.0,69,120,739,502,116,Ford E-Series Wagon Van 2012,train/00175.jpg
175.0,45,85,1005,558,66,Chevrolet Cobalt SS 2010,train/00176.jpg
176.0,98,22,650,302,50,Buick Enclave SUV 2012,train/00177.jpg
177.0,5,28,285,148,122,GMC Canyon Extended Cab 2012,train/00178.jpg
178.0,42,113,601,439,155,Land Rover LR2 SUV 2012,train/00179.jpg
179.0,3,40,297,157,142,Infiniti QX56 SUV 2011,train/00180.jpg
180.0,84,256,913,752,68,Chevrolet TrailBlazer SS 2009,train/00181.jpg
181.0,43,226,1001,630,170,Nissan Juke Hatchback 2012,train/00182.jpg
182.0,2,9,196,125,161,Mercedes-Benz 300-Class Convertible 1993,train/00183.jpg
183.0,34,51,604,344,161,Mercedes-Benz 300-Class Convertible 1993,train/00184.jpg
184.0,24,35,620,438,133,Hyundai Veracruz SUV 2012,train/00185.jpg
185.0,6,72,255,178,125,HUMMER H2 SUT Crew Cab 2009,train/00186.jpg
186.0,4,408,1600,934,160,McLaren MP4-12C Coupe 2012,train/00187.jpg
187.0,25,162,1241,764,93,Dodge Challenger SRT8 2011,train/00188.jpg
188.0,18,15,583,421,183,Suzuki SX4 Hatchback 2012,train/00189.jpg
189.0,198,416,1271,935,45,Bugatti Veyron 16.4 Convertible 2009,train/00190.jpg
190.0,129,75,654,422,143,Isuzu Ascender SUV 2008,train/00191.jpg
191.0,37,24,259,212,189,Toyota 4Runner SUV 2012,train/00192.jpg
192.0,82,107,990,723,48,Buick Rainier SUV 2007,train/00193.jpg
193.0,187,327,1211,769,176,Rolls-Royce Ghost Sedan 2012,train/00194.jpg
194.0,150,339,1313,771,77,Chrysler Sebring Convertible 2010,train/00195.jpg
195.0,26,46,266,213,190,Volkswagen Golf Hatchback 2012,train/00196.jpg
196.0,47,102,492,371,110,Ford Edge SUV 2012,train/00197.jpg
197.0,91,121,574,357,6,Acura Integra Type R 2001,train/00198.jpg
198.0,151,298,1285,835,191,Volkswagen Golf Hatchback 1991,train/00199.jpg
199.0,30,55,301,187,16,Audi V8 Sedan 1994,train/00200.jpg
200.0,21,1,386,200,12,Audi RS 4 Convertible 2008,train/00201.jpg
201.0,233,217,1228,807,90,Dodge Dakota Crew Cab 2010,train/00202.jpg
202.0,30,167,945,545,188,Toyota Corolla Sedan 2012,train/00203.jpg
203.0,11,61,284,151,128,Honda Accord Coupe 2012,train/00204.jpg
204.0,29,70,612,356,23,Audi S4 Sedan 2012,train/00205.jpg
205.0,117,222,558,434,11,Aston Martin Virage Coupe 2012,train/00206.jpg
206.0,31,119,438,258,93,Dodge Challenger SRT8 2011,train/00207.jpg
207.0,26,151,360,256,8,Aston Martin V8 Vantage Convertible 2012,train/00208.jpg
208.0,58,136,973,636,63,Chevrolet Sonic Sedan 2012,train/00209.jpg
209.0,8,80,639,366,173,Porsche Panamera Sedan 2012,train/00210.jpg
210.0,11,47,598,365,176,Rolls-Royce Ghost Sedan 2012,train/00211.jpg
211.0,8,20,254,155,72,Chevrolet Monte Carlo Coupe 2007,train/00212.jpg
212.0,37,62,261,191,195,Volvo XC90 SUV 2007,train/00213.jpg
213.0,70,78,915,640,114,Ford F-150 Regular Cab 2007,train/00214.jpg
214.0,38,50,221,138,72,Chevrolet Monte Carlo Coupe 2007,train/00215.jpg
215.0,21,45,133,88,119,GMC Savana Van 2012,train/00216.jpg
216.0,45,39,594,444,18,Audi 100 Wagon 1994,train/00217.jpg
217.0,39,94,337,245,77,Chrysler Sebring Convertible 2010,train/00218.jpg
218.0,89,1,597,316,18,Audi 100 Wagon 1994,train/00219.jpg
219.0,16,103,462,347,107,Ford Mustang Convertible 2007,train/00220.jpg
220.0,29,21,477,299,10,Aston Martin Virage Convertible 2012,train/00221.jpg
221.0,89,58,545,338,196,smart fortwo Convertible 2012,train/00222.jpg
222.0,42,115,299,288,99,FIAT 500 Abarth 2012,train/00223.jpg
223.0,19,10,177,134,88,Dodge Sprinter Cargo Van 2009,train/00224.jpg
224.0,20,50,463,313,121,GMC Acadia SUV 2012,train/00225.jpg
225.0,46,15,202,156,111,Ford Ranger SuperCab 2011,train/00226.jpg
226.0,36,63,613,397,61,Chevrolet Impala Sedan 2007,train/00227.jpg
227.0,237,156,896,365,141,Infiniti G Coupe IPL 2012,train/00228.jpg
228.0,5,46,255,138,136,Hyundai Accent Sedan 2012,train/00229.jpg
229.0,223,542,3692,2478,183,Suzuki SX4 Hatchback 2012,train/00230.jpg
230.0,73,109,606,374,106,Ford F-450 Super Duty Crew Cab 2012,train/00231.jpg
231.0,15,110,544,381,84,Dodge Caliber Wagon 2007,train/00232.jpg
232.0,276,124,1495,951,194,Volvo 240 Sedan 1993,train/00233.jpg
233.0,99,364,1211,954,132,Hyundai Tucson SUV 2012,train/00234.jpg
234.0,59,63,549,404,111,Ford Ranger SuperCab 2011,train/00235.jpg
235.0,19,138,571,424,7,Acura ZDX Hatchback 2012,train/00236.jpg
236.0,11,10,396,265,65,Chevrolet Avalanche Crew Cab 2012,train/00237.jpg
237.0,163,91,527,346,26,BMW ActiveHybrid 5 Sedan 2012,train/00238.jpg
238.0,4,19,255,172,16,Audi V8 Sedan 1994,train/00239.jpg
239.0,45,60,251,171,138,Hyundai Sonata Sedan 2012,train/00240.jpg
240.0,32,59,1011,709,170,Nissan Juke Hatchback 2012,train/00241.jpg
241.0,10,53,273,167,102,Ferrari California Convertible 2012,train/00242.jpg
242.0,270,228,727,416,168,Nissan Leaf Hatchback 2012,train/00243.jpg
243.0,21,93,479,331,7,Acura ZDX Hatchback 2012,train/00244.jpg
244.0,22,59,536,238,61,Chevrolet Impala Sedan 2007,train/00245.jpg
245.0,1,317,1280,945,167,Mitsubishi Lancer Sedan 2012,train/00246.jpg
246.0,47,125,850,468,137,Hyundai Genesis Sedan 2012,train/00247.jpg
247.0,52,167,508,387,177,Rolls-Royce Phantom Sedan 2012,train/00248.jpg
248.0,6,155,631,450,153,Lamborghini Diablo Coupe 2001,train/00249.jpg
249.0,11,35,246,186,190,Volkswagen Golf Hatchback 2012,train/00250.jpg
250.0,576,466,2994,1953,167,Mitsubishi Lancer Sedan 2012,train/00251.jpg
251.0,37,50,253,158,105,Fisker Karma Sedan 2012,train/00252.jpg
252.0,51,105,579,335,50,Buick Enclave SUV 2012,train/00253.jpg
253.0,21,11,296,141,131,Hyundai Santa Fe SUV 2012,train/00254.jpg
254.0,29,78,734,396,6,Acura Integra Type R 2001,train/00255.jpg
255.0,85,215,776,511,21,Audi S5 Convertible 2012,train/00256.jpg
256.0,23,146,617,329,31,BMW 6 Series Convertible 2007,train/00257.jpg
257.0,34,86,227,166,51,Cadillac CTS-V Sedan 2012,train/00258.jpg
258.0,75,254,2514,1929,187,Toyota Camry Sedan 2012,train/00259.jpg
259.0,28,164,698,417,134,Hyundai Sonata Hybrid Sedan 2012,train/00260.jpg
260.0,32,79,378,221,16,Audi V8 Sedan 1994,train/00261.jpg
261.0,158,132,501,293,103,Ferrari 458 Italia Convertible 2012,train/00262.jpg
262.0,177,299,730,673,40,Bentley Arnage Sedan 2009,train/00263.jpg
263.0,42,72,472,299,69,Chevrolet Silverado 2500HD Regular Cab 2012,train/00264.jpg
264.0,15,74,387,195,55,Chevrolet Corvette Convertible 2012,train/00265.jpg
265.0,22,300,786,552,17,Audi 100 Sedan 1994,train/00266.jpg
266.0,25,133,620,374,46,Bugatti Veyron 16.4 Coupe 2009,train/00267.jpg
267.0,49,53,596,398,74,Chevrolet Silverado 1500 Extended Cab 2012,train/00268.jpg
268.0,29,192,605,391,185,Tesla Model S Sedan 2012,train/00269.jpg
269.0,15,70,357,186,122,GMC Canyon Extended Cab 2012,train/00270.jpg
270.0,11,23,141,80,174,Ram C/V Cargo Van Minivan 2012,train/00271.jpg
271.0,8,1,590,327,100,FIAT 500 Convertible 2012,train/00272.jpg
272.0,37,65,458,321,69,Chevrolet Silverado 2500HD Regular Cab 2012,train/00273.jpg
273.0,31,69,435,310,20,Audi S6 Sedan 2011,train/00274.jpg
274.0,165,183,495,358,130,Hyundai Veloster Hatchback 2012,train/00275.jpg
275.0,75,93,529,360,132,Hyundai Tucson SUV 2012,train/00276.jpg
276.0,72,193,926,613,173,Porsche Panamera Sedan 2012,train/00277.jpg
277.0,1,38,251,135,156,Lincoln Town Car Sedan 2011,train/00278.jpg
278.0,16,31,553,297,47,Buick Regal GS 2012,train/00279.jpg
279.0,3,33,261,176,107,Ford Mustang Convertible 2007,train/00280.jpg
280.0,214,240,387,342,151,Lamborghini Aventador Coupe 2012,train/00281.jpg
281.0,20,97,460,356,61,Chevrolet Impala Sedan 2007,train/00282.jpg
282.0,112,190,664,342,105,Fisker Karma Sedan 2012,train/00283.jpg
283.0,49,101,942,619,94,Dodge Durango SUV 2012,train/00284.jpg
284.0,7,20,634,298,194,Volvo 240 Sedan 1993,train/00285.jpg
285.0,116,143,769,713,195,Volvo XC90 SUV 2007,train/00286.jpg
286.0,56,299,1266,721,91,Dodge Dakota Club Cab 2007,train/00287.jpg
287.0,60,46,258,138,189,Toyota 4Runner SUV 2012,train/00288.jpg
288.0,205,197,741,425,15,Audi R8 Coupe 2012,train/00289.jpg
289.0,68,30,620,506,140,Hyundai Azera Sedan 2012,train/00290.jpg
290.0,27,147,573,471,142,Infiniti QX56 SUV 2011,train/00291.jpg
291.0,133,73,806,251,10,Aston Martin Virage Convertible 2012,train/00292.jpg
292.0,24,27,936,380,104,Ferrari 458 Italia Coupe 2012,train/00293.jpg
293.0,11,141,629,386,48,Buick Rainier SUV 2007,train/00294.jpg
294.0,150,114,524,433,50,Buick Enclave SUV 2012,train/00295.jpg
295.0,18,115,618,456,120,GMC Yukon Hybrid SUV 2012,train/00296.jpg
296.0,56,157,639,455,87,Dodge Ram Pickup 3500 Quad Cab 2009,train/00297.jpg
297.0,49,67,362,245,177,Rolls-Royce Phantom Sedan 2012,train/00298.jpg
298.0,24,66,982,711,147,Jeep Liberty SUV 2012,train/00299.jpg
299.0,41,103,994,692,169,Nissan NV Passenger Van 2012,train/00300.jpg
300.0,52,36,247,189,121,GMC Acadia SUV 2012,train/00301.jpg
301.0,1,37,296,171,19,Audi TT Hatchback 2011,train/00302.jpg
302.0,6,47,297,193,31,BMW 6 Series Convertible 2007,train/00303.jpg
303.0,14,29,235,168,156,Lincoln Town Car Sedan 2011,train/00304.jpg
304.0,37,21,169,122,143,Isuzu Ascender SUV 2008,train/00305.jpg
305.0,37,125,582,456,83,Dodge Caliber Wagon 2012,train/00306.jpg
306.0,171,63,1187,894,58,Chevrolet Traverse SUV 2012,train/00307.jpg
307.0,16,136,775,418,6,Acura Integra Type R 2001,train/00308.jpg
308.0,50,122,589,338,127,Honda Odyssey Minivan 2007,train/00309.jpg
309.0,36,43,407,319,131,Hyundai Santa Fe SUV 2012,train/00310.jpg
310.0,1,69,280,228,15,Audi R8 Coupe 2012,train/00311.jpg
311.0,53,79,627,464,73,Chevrolet Malibu Sedan 2007,train/00312.jpg
312.0,13,44,477,289,24,Audi S4 Sedan 2007,train/00313.jpg
313.0,33,71,615,435,87,Dodge Ram Pickup 3500 Quad Cab 2009,train/00314.jpg
314.0,555,278,1543,1207,170,Nissan Juke Hatchback 2012,train/00315.jpg
315.0,10,29,276,164,123,Geo Metro Convertible 1993,train/00316.jpg
316.0,2,48,300,202,158,Maybach Landaulet Convertible 2012,train/00317.jpg
317.0,73,159,445,376,11,Aston Martin Virage Coupe 2012,train/00318.jpg
318.0,38,8,564,402,47,Buick Regal GS 2012,train/00319.jpg
319.0,42,17,440,282,7,Acura ZDX Hatchback 2012,train/00320.jpg
320.0,42,63,593,397,94,Dodge Durango SUV 2012,train/00321.jpg
321.0,9,304,1009,677,75,Chevrolet Silverado 1500 Regular Cab 2012,train/00322.jpg
322.0,161,263,632,415,182,Suzuki Kizashi Sedan 2012,train/00323.jpg
323.0,15,26,199,123,186,Toyota Sequoia SUV 2012,train/00324.jpg
324.0,12,21,285,142,128,Honda Accord Coupe 2012,train/00325.jpg
325.0,29,28,432,249,193,Volvo C30 Hatchback 2012,train/00326.jpg
326.0,2,6,546,298,180,Spyker C8 Coupe 2009,train/00327.jpg
327.0,41,49,244,176,62,Chevrolet Tahoe Hybrid SUV 2012,train/00328.jpg
328.0,10,105,660,475,114,Ford F-150 Regular Cab 2007,train/00329.jpg
329.0,168,92,333,305,166,Mercedes-Benz Sprinter Van 2012,train/00330.jpg
330.0,26,81,596,391,181,Suzuki Aerio Sedan 2007,train/00331.jpg
331.0,76,247,396,396,101,Ferrari FF Coupe 2012,train/00332.jpg
332.0,30,110,472,316,103,Ferrari 458 Italia Convertible 2012,train/00333.jpg
333.0,179,300,1403,894,22,Audi S5 Coupe 2012,train/00334.jpg
334.0,23,31,236,176,125,HUMMER H2 SUT Crew Cab 2009,train/00335.jpg
335.0,309,598,1767,995,112,Ford GT Coupe 2006,train/00336.jpg
336.0,45,55,530,308,38,BMW Z4 Convertible 2012,train/00337.jpg
337.0,14,129,441,360,106,Ford F-450 Super Duty Crew Cab 2012,train/00338.jpg
338.0,39,5,234,174,56,Chevrolet Corvette ZR1 2012,train/00339.jpg
339.0,139,152,488,305,9,Aston Martin V8 Vantage Coupe 2012,train/00340.jpg
340.0,62,116,974,610,67,Chevrolet Malibu Hybrid Sedan 2010,train/00341.jpg
341.0,152,195,502,436,169,Nissan NV Passenger Van 2012,train/00342.jpg
342.0,63,36,760,504,147,Jeep Liberty SUV 2012,train/00343.jpg
343.0,36,59,770,397,145,Jeep Patriot SUV 2012,train/00344.jpg
344.0,26,13,234,194,113,Ford F-150 Regular Cab 2012,train/00345.jpg
345.0,112,21,2859,1928,63,Chevrolet Sonic Sedan 2012,train/00346.jpg
346.0,100,190,907,691,145,Jeep Patriot SUV 2012,train/00347.jpg
